id,set_code,set_name,company,cat_ref,imAge_A,image_ext,has_back_image,jurisdiction,jurisdiction_type,year,serial_number,width_inches,height_inches,value_mt,value_ex,value_vg,value_g,value_fr,value_po,variety_key,variety_notes,state_embossed,legend_embossed,notes,sort_order
1,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,AR,png,1,Arkansas,us_state,1936,35-698,3.25,1.5,25,15,10,7,3,,base,,0,0,,10
2,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,CT,png,1,Connecticut,us_state,1936,6980,3.25,1.5,25,15,10,7,3,,base,,0,0,,20
3,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,FL,png,1,Florida,us_state,1936,624-573,3.25,1.5,25,15,10,7,3,,base,,0,0,,30
4,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,IL,png,1,Illinois,us_state,1936,621-194,3.25,1.5,25,15,10,7,3,,base,,0,0,,40
5,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,IN,png,1,Indiana,us_state,1936,5493,3.25,1.5,25,15,10,7,3,,base,,0,0,,50
6,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,IA,png,1,Iowa,us_state,1936,50-2496,3.25,1.5,25,15,10,7,3,,base,,0,0,,60
7,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,KS,png,1,Kansas,us_state,1936,23-7498,3.25,1.5,25,15,10,7,3,,base,,0,0,,70
8,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,KY,png,1,Kentucky,us_state,1936,216-194,3.25,1.5,25,15,10,7,3,,base,,0,0,,80
9,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,LA,png,1,Louisiana,us_state,1936,20-569,3.25,1.5,25,15,10,7,3,,base,,0,0,,90
10,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,ME,png,1,Maine,us_state,1936,601-510,3.25,1.5,25,15,10,7,3,,base,,0,0,,100
11,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MD,png,1,Maryland,us_state,1936,16-709,3.25,1.5,25,15,10,7,3,,base,,0,0,,110
12,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MA,png,1,Massachusetts,us_state,1936,620-785,3.25,1.5,25,15,10,7,3,,base,,0,0,,120
13,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MI,png,1,Michigan,us_state,1936,A24673,3.25,1.5,25,15,10,7,3,,base,,0,0,,130
14,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MN,png,1,Minnesota,us_state,1936,A39-931,3.25,1.5,25,15,10,7,3,,base,,0,0,,140
15,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MS,png,1,Mississippi,us_state,1936,106-907,3.25,1.5,25,15,10,7,3,,base,,0,0,,150
16,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MO,png,1,Missouri,us_state,1936,501-100,3.25,1.5,25,15,10,7,3,,base,,0,0,,160
17,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,MT,png,1,Montana,us_state,1936,10-356,3.25,1.5,25,15,10,7,3,,base,,0,0,,170
18,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NE,png,1,Nebraska,us_state,1936,19-294,3.25,1.5,25,15,10,7,3,,base,,0,0,,180
19,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NH,png,1,New Hampshire,us_state,1936,98-542,3.25,1.5,25,15,10,7,3,,base,,0,0,,190
20,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NJ,png,1,New Jersey,us_state,1936,H9078,3.25,1.5,25,15,10,7,3,,base,,0,0,,200
21,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NM,png,1,New Mexico,us_state,1936,362,3.25,1.5,25,15,10,7,3,,base,,0,0,,210
22,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NY,png,1,New York,us_state,1936,5Y62-43,3.25,1.5,25,15,10,7,3,,base,,0,0,,220
23,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,NC,png,1,North Carolina,us_state,1936,630-920,3.25,1.5,25,15,10,7,3,,base,,0,0,,230
24,go36,1936 Auto License Cards,"Goudey Gum Co., Boston, Mass.",R19-1,ND,png,1,North Dakota,us_state,1936,2-369,3.25,1.5,25,15,10,7,3,,base,,0,0,,240
